ID,labID,treatmentID,Treatment,SamplingEvent,sample_name,VarroaLoad,NosemaChamber1,NosemaChamber2,NosemaCounter,MiteCounter,QueenStatus,BroodPattern,FOB,ChalkBrood,AFB,EFB,PMS,SBV,Snot,BSB,DWV,WaxMoth,SmallBeetle,Date,Yard,BeesAlcPulled,BeesAlcRemain,TotBees,dil.factor
M13,13,M,Migratory,1,M13-1,0,10,13,Sam,Greer,QueenRight,5,9,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,97,197,3.625
M14,14,M,Migratory,1,M14-1,0,14,17,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,124,224,7.8595
M15,15,M,Migratory,1,M15-1,0,1,0,Sam,Greer,QueenRight,4,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,144,244,10.025
M16,16,M,Migratory,1,M16-1,0,2,2,Sam,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,100,116,216,6.498
S17,17,S,Stationary,1,S17-1,0,22,21,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,30,230,7.659
S18,18,S,Stationary,1,S18-1,1,14,10,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,2,202,4.5285
S19,19,S,Stationary,1,S19-1,0,1,2,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,46,246,9.029
S20,20,S,Stationary,1,S20-1,0,5,3,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,17,217,5.714
S21,21,S,Stationary,1,S21-1,0,3,1,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,1,0,0,0,25-Jan,Franks,147,0,147,12.8555
S22,22,S,Stationary,1,S22-1,3,6,19,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,27,227,9.6675
S23,23,S,Stationary,1,S23-1,0,7,11,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,18,218,10.6515
S24,24,S,Stationary,1,S24-1,1,15,18,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,35,235,5.3365
S25,25,S,Stationary,1,S25-1,0,16,18,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,13,213,3.1595
S26,26,S,Stationary,1,S26-1,1,15,28,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,40,240,9.705
S27,27,S,Stationary,1,S27-1,1,21,20,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,1,201,8.6305
S28,28,S,Stationary,1,S28-1,0,8,7,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,36,236,17.199
S29,29,S,Stationary,1,S29-1,0,29,26,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,39,239,2.065
S30,30,S,Stationary,1,S30-1,1,48,54,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,23,223,14.2975
S31,31,S,Stationary,1,S31-1,0,13,15,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,160,0,160,11.1355
S32,32,S,Stationary,1,S32-1,1,20,11,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,200,6,206,8.5545
E33,33,E,Exposed,1,E33-1,NA,NA,NA,Kendall,Greer,QueenRight,4,6,0,0,0,0,0,0,1,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E34,34,E,Exposed,1,E34-1,NA,NA,NA,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E35,35,E,Exposed,1,E35-1,NA,NA,NA,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E36,36,E,Exposed,1,E36-1,NA,NA,NA,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E37,37,E,Exposed,1,E37-1,NA,NA,NA,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E38,38,E,Exposed,1,E38-1,NA,NA,NA,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E39,39,E,Exposed,1,E39-1,NA,NA,NA,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E40,40,E,Exposed,1,E40-1,NA,NA,NA,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E41,41,E,Exposed,1,E41-1,NA,NA,NA,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E42,42,E,Exposed,1,E42-1,NA,NA,NA,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E43,43,E,Exposed,1,E43-1,NA,NA,NA,Kendall,Greer,QueenRight,4,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E44,44,E,Exposed,1,E44-1,NA,NA,NA,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E45,45,E,Exposed,1,E45-1,NA,NA,NA,Kendall,Greer,QueenRight,4,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E46,46,E,Exposed,1,E46-1,NA,NA,NA,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E47,47,E,Exposed,1,E47-1,NA,NA,NA,Kendall,Greer,QueenRight,5,7,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
E48,48,E,Exposed,1,E48-1,NA,NA,NA,Kendall,Greer,QueenRight,5,8,0,0,0,0,0,0,0,0,0,0,25-Jan,Franks,NA,NA,NA,NA
M1,1,M,Migratory,2,M1-2,6,14,8,Kendall,Greer,QueenRight,4,17,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,130,230,18.1915
M2,2,M,Migratory,2,M2-2,5,8,7,Kendall,Greer,QueenRight,3,3,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,149,249,25.92
M3,3,M,Migratory,2,M3-2,1,2,1,Kendall,Greer,QueenRight,5,20,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,146,246,19.0745
M4,4,M,Migratory,2,M4-2,5,7,7,Kendall,Greer,QueenRight,5,20,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,189,289,18.374
M5,5,M,Migratory,2,M5-2,1,12,6,Kendall,Greer,QueenRight,3,7,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,81,181,25.6305
M6,6,M,Migratory,2,M6-2,1,2,4,Kendall,Greer,QueenRight,3,8,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,84,184,25.9945
M7,7,M,Migratory,2,M7-2,2,0,1,Kendall,Greer,QueenRight,3,8,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,107,207,33.5325
M8,8,M,Migratory,2,M8-2,5,9,9,Kendall,Greer,QueenRight,3,4,0,0,0,1,0,0,0,0,0,0,28-Feb,Franks,100,148,248,25.5375
M9,9,M,Migratory,2,M9-2,1,5,5,Kendall,Greer,QueenRight,3,4,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,100,200,26.085
M10,10,M,Migratory,2,M10-2,0,2,2,Kendall,Greer,QueenRight,3,15,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,157,257,20.357
M11,11,M,Migratory,2,M11-2,3,10,8,Kendall,Greer,QueenRight,3,5,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,119,219,17.6305
M12,12,M,Migratory,2,M12-2,2,2,3,Kendall,Greer,QueenRight,4,16,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,189,289,26.6635
M13,13,M,Migratory,2,M13-2,7,0,0,Kendall,Greer,QueenRight,4,16,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,199,299,20.32
M14,14,M,Migratory,2,M14-2,1,4,4,Kendall,Greer,QueenRight,5,20,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,182,282,25.291
M15,15,M,Migratory,2,M15-2,2,0,1,Kendall,Greer,QueenRight,4,16,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,123,223,19.998
M16,16,M,Migratory,2,M16-2,4,0,3,Kendall,Greer,QueenRight,3,4,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,96,196,25.5395
S17,17,S,Stationary,2,S17-2,3,1,0,Kendall,Greer,QueenRight,5,18,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,103,203,16.7275
S18,18,S,Stationary,2,S18-2,0,9,12,Kendall,Greer,QueenRight,4,16,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,50,150,17.918
S19,19,S,Stationary,2,S19-2,0,2,1,Kendall,Greer,QueenRight,3,5,0,0,0,0,0,0,1,0,0,0,28-Feb,Franks,100,222,322,19.1395
S20,20,S,Stationary,2,S20-2,1,0,0,Kendall,Greer,QueenRight,4,15,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,155,255,17.0615
S21,21,S,Stationary,2,S21-2,2,0,0,Kendall,Greer,QueenRight,3,17,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,65,165,14.8235
S22,22,S,Stationary,2,S22-2,13,3,11,Kendall,Greer,QueenRight,4,10,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,77,177,16.0045
S23,23,S,Stationary,2,S23-2,1,2,0,Kendall,Greer,QueenRight,4,20,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,176,276,25.6665
S24,24,S,Stationary,2,S24-2,0,3,4,Kendall,Greer,QueenRight,5,20,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,130,230,9.47
S25,25,S,Stationary,2,S25-2,0,9,7,Kendall,Greer,QueenRight,2,15,0,0,0,0,1,0,0,0,0,0,28-Feb,Franks,100,172,272,20.125
S26,26,S,Stationary,2,S26-2,5,0,0,Kendall,Greer,QueenRight,4,17,0,0,0,0,0,0,1,0,0,0,28-Feb,Franks,100,292,392,22.3355
S27,27,S,Stationary,2,S27-2,4,14,12,Kendall,Greer,QueenRight,5,20,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,178,278,28.1115
S28,28,S,Stationary,2,S28-2,7,0,0,Kendall,Greer,Queenless,4,6,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,289,389,17.792
S29,29,S,Stationary,2,S29-2,1,1,2,Kendall,Greer,QueenRight,4,15,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,254,354,25.5685
S30,30,S,Stationary,2,S30-2,3,1,0,Kendall,Greer,QueenRight,3,15,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,235,335,20.6105
S31,31,S,Stationary,2,S31-2,2,1,0,Kendall,Greer,QueenRight,4,15,0,0,0,0,0,0,0,0,0,0,28-Feb,Franks,100,202,302,17.268
S32,32,S,Stationary,2,S32-2,0,7,5,Kendall,Greer,QueenRight,5,20,0,0,0,0,0,0,1,0,0,0,28-Feb,Franks,100,250,350,20.8015
E33,33,E,Exposed,2,E33-2,1,1,0,Kendall,Greer,QueenRight,5,15,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,286,386,21.8785
E34,34,E,Exposed,2,E34-2,0,8,11,Kendall,Greer,QueenRight,4,15,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,246,346,10.7115
E35,35,E,Exposed,2,E35-2,0,0,0,Kendall,Greer,QueenRight,3,10,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,249,349,15.371
E36,36,E,Exposed,2,E36-2,0,0,1,Kendall,Greer,QueenRight,4,16,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,219,319,19.4755
E37,37,E,Exposed,2,E37-2,0,0,0,Kendall,Greer,QueenRight,4,15,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,255,355,22.4405
E38,38,E,Exposed,2,E38-2,0,0,0,Kendall,Greer,QueenRight,4,14,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,239,339,13.667
E39,39,E,Exposed,2,E39-2,13,0,1,Kendall,Greer,QueenRight,5,15,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,225,325,20.862
E40,40,E,Exposed,2,E40-2,1,1,3,Kendall,Greer,QueenRight,3,9,0,0,0,0,0,0,1,1,0,0,28-Feb,wayne,100,246,346,15.0885
E41,41,E,Exposed,2,E41-2,1,0,0,Kendall,Greer,QueenRight,4,15,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,288,388,4.491
E42,42,E,Exposed,2,E42-2,0,6,2,Kendall,Greer,QueenRight,NA,NA,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,192,292,18.7445
E43,43,E,Exposed,2,E43-2,22,0,0,Kendall,Greer,Queenless ,NA,5,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,285,385,11.129
E44,44,E,Exposed,2,E44-2,5,0,0,Kendall,Greer,QueenRight,5,17,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,278,378,18.9475
E45,45,E,Exposed,2,E45-2,0,7,3,Kendall,Greer,QueenRight,5,13,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,268,368,15.7225
E46,46,E,Exposed,2,E46-2,0,1,0,Kendall,Greer,QueenRight,5,14,0,0,0,0,0,0,0,0,0,0,28-Feb,wayne,100,262,362,8.068
E47,47,E,Exposed,2,E47-2,0,2,1,Kendall,Greer,QueenRight,3,20,0,0,0,0,1,0,0,0,0,0,28-Feb,wayne,100,224,324,24.8325
E48,48,E,Exposed,2,E48-2,2,4,1,Kendall,Greer,QueenRight,3,15,0,0,0,1,0,0,0,0,0,0,28-Feb,wayne,100,246,346,15.4105
M1,1,M,Migratory,3,M1-3,6,2,1,Nora,Sam,QueenRight,2,25,0,0,1,1,0,0,1,0,0,0,25-Apr,franks ,100,194,294,33.136
M2,2,M,Migratory,3,M2-3,8,4,3,Nora,Kendall,QueenRight,4,12,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,187,287,20.607
M3,3,M,Migratory,3,M3-3,0,0,1,Nora,Sam,QueenRight,5,20,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,118,218,26.83
M4,4,M,Migratory,3,M4-3,0,1,0,Nora,Kendall,QueenRight,4,30,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,167,267,24.4705
M5,5,M,Migratory,3,M5-3,2,4,3,Nora,Kendall,QueenRight,4,15,0,0,0,0,0,0,1,0,0,0,25-Apr,franks ,100,130,230,21.8385
M6,6,M,Migratory,3,M6-3,1,6,5,Nora,Sam,QueenRight,4,12,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,171,271,22.221
M7,7,M,Migratory,3,M7-3,2,0,1,Nora,Kendall,Queenless,3,10,0,0,0,1,0,0,1,0,0,0,25-Apr,franks ,100,163,263,19.9485
M8,8,M,Migratory,3,M8-3,3,0,1,Nora,Sam,QueenRight,3,8,0,0,0,1,0,0,0,0,0,0,25-Apr,franks ,100,150,250,14.399
M9,9,M,Migratory,3,M9-3,0,1,5,Nora,Sam,QueenRight,4,13,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,110,210,15.0025
M10,10,M,Migratory,3,M10-3,2,4,3,Nora,Kendall,QueenRight,2,NA,0,0,1,0,0,0,0,0,0,0,25-Apr,franks ,100,122,222,20.1955
M11,11,M,Migratory,3,M11-3,1,3,3,Nora,Sam,QueenRight,3,11,0,0,0,1,0,0,1,0,0,0,25-Apr,franks ,100,189,289,27.1965
M12,12,M,Migratory,3,M12-3,0,1,1,Nora,Kendall,QueenRight,4,23,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,203,303,18.5395
M13,13,M,Migratory,3,M13-3,7,1,3,Nora,Sam,QueenRight,4,22,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,122,222,22.733
M14,14,M,Migratory,3,M14-3,1,3,0,Nora,Kendall,QueenRight,4,26,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,94,194,23.3895
M15,15,M,Migratory,3,M15-3,1,3,0,Nora,Kendall,QueenRight,4,20,1,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,147,247,23.1065
M16,16,M,Migratory,3,M16-3,3,0,1,Nora,Sam,QueenRight,3,13,0,0,0,1,0,0,0,0,0,0,25-Apr,franks ,100,134,234,30.8
S17,17,S,Stationary,3,S17-3,14,7,10,Nora,Kendall,QueenRight,5,24,0,0,0,0,0,0,1,0,0,0,25-Apr,franks ,100,137,237,13.6845
S18,18,S,Stationary,3,S18-3,3,0,0,Nora,Sam,QueenRight,4,23,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,191,291,22.558
S19,19,S,Stationary,3,S19-3,0,2,4,Nora,Kendall,QueenRight,3,15,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,506,606,21.767
S20,20,S,Stationary,3,S20-3,2,3,5,Nora,Sam,QueenRight,4,21,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,160,260,9.402
S21,21,S,Stationary,3,S21-3,2,5,4,Nora,Kendall,Queenless,3,10,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,143,243,20.75
S22,22,S,Stationary,3,S22-3,15,5,1,Nora,Sam,QueenRight,4,22,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,102,202,17.763
S23,23,S,Stationary,3,S23-3,9,1,0,Nora,Kendall,QueenCellsPresent,4,20,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,123,223,19.2435
S24,24,S,Stationary,3,S24-3,7,1,0,Nora,Sam,QueenRight,5,20,0,0,0,0,0,0,1,0,0,0,25-Apr,franks ,100,104,204,21.755
S25,25,S,Stationary,3,S25-3,9,2,2,Nora,Kendall,QueenRight,3,20,0,0,0,0,1,0,0,0,0,0,25-Apr,franks ,100,115,215,11.373
S26,26,S,Stationary,3,S26-3,1,8,4,Nora,Sam,QueenCellsPresent,4,24,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,139,239,28.784
S27,27,S,Stationary,3,S27-3,17,0,1,Nora,Kendall,QueenCellsPresent,5,28,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,162,262,23.157
S28,28,S,Stationary,3,S28-3,3,2,1,Nora,Sam,QueenRight,4,15,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,41,141,21.3995
S29,29,S,Stationary,3,S29-3,2,3,2,Nora,Kendall,QueenRight,3,23,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,144,244,25.4785
S30,30,S,Stationary,3,S30-3,1,1,5,Nora,Sam,QueenRight,4,25,0,0,0,1,0,0,1,0,0,0,25-Apr,franks ,100,99,199,14.1135
S31,31,S,Stationary,3,S31-3,1,14,12,Alex,Sam,QueenRight,4,22,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,91,191,21.0695
S32,32,S,Stationary,3,S32-3,1,2,4,Alex,Sam,QueenRight,4,30,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,139,239,16.686
E33,33,E,Exposed,3,E33-3,3,6,1,Alex,Sam,QueenCellsPresent,4,30,0,0,0,0,0,0,0,0,0,0,25-Apr,franks ,100,91,191,17.442
E34,34,E,Exposed,3,E34-3,10,9,3,Alex,Kendall,QueenRight,4,33,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,103,203,27.973
E35,35,E,Exposed,3,E35-3,2,2,1,Alex,Sam,QueenRight,3,16,0,0,0,1,0,0,0,0,0,0,25-Apr,wayne,100,171,271,17.087
E36,36,E,Exposed,3,E36-3,3,4,7,Alex,Kendall,QueenRight,4,28,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,143,243,23.6505
E37,37,E,Exposed,3,E37-3,0,5,6,Alex,Sam,QueenRight,4,27,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,110,210,20.3925
E38,38,E,Exposed,3,E38-3,1,4,2,Alex,Sam,QueenRight,4,24,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,112,212,16.443
E39,39,E,Exposed,3,E39-3,15,2,2,Nora,Sam,QueenRight,4,25,0,0,0,1,0,0,0,0,0,0,25-Apr,wayne,100,116,216,18.594
E40,40,E,Exposed,3,E40-3,1,2,2,Nora,Sam,QueenRight,4,16,0,0,0,0,0,0,1,0,0,0,25-Apr,wayne,100,112,212,20.4905
E41,41,E,Exposed,3,E41-3,1,20,25,Nora,Alex,QueenRight,4,30,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,119,219,15.399
E42,42,E,Exposed,3,E42-3,1,7,5,Nora,Sam,QueenRight,4,36,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,123,223,21.3715
E43,43,E,Exposed,3,E43-3,37,1,0,Nora,Alex,QueenRight,4,32,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,113,213,23.341
E44,44,E,Exposed,3,E44-3,4,4,5,Nora,Sam,QueenRight,NA,20,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,173,273,18.7345
E45,45,E,Exposed,3,E45-3,6,3,3,Nora,Sam,QueenRight,4,28,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,126,226,18.706
E46,46,E,Exposed,3,E46-3,1,4,2,Nora,Alex,QueenCellsPresent,5,22,0,0,0,0,0,0,0,0,0,0,25-Apr,wayne,100,147,247,22.346
E47,47,E,Exposed,3,E47-3,0,10,4,Nora,Sam,QueenRight,3,30,0,0,0,0,1,0,0,0,0,0,25-Apr,wayne,100,72,172,10.751
E48,48,E,Exposed,3,E48-3,6,1,3,Nora,Alex,QueenRight,4,24,0,0,1,0,0,0,1,0,0,0,25-Apr,wayne,100,147,247,18.456
